"comments","likes","shares","text"
"161","3594","9","A busy road to ICC Men's #T20WorldCup 2024 for Pakistan 👀

Details 👇"
"382","10020","236","Sri Lanka level the series 1-1 after a stellar all-round showing in the second T20I against South Africa 👏

Watch #SAvSL live on http://ICC.tv (in select regions) 📺 

📝: https://bit.ly/3TFK9HL"
"97","2197","4","Dimuth Karunaratne believes Sri Lanka did well on a wicket that wasn't easy to bat on 🏏

Details ⬇

#BANvSL #WTC25

"
"1605","39370","154","Shakib Al Hasan is back playing Test cricket after almost one year 💪

#WTC25 | #BANvSL"
"492","12679","98","Brilliant knocks from Dimuth Karunaratne and Kusal Mendis put Sri Lanka in command 👌

#WTC25 | #BANvSL 📝: https://bit.ly/3IXaRGU"
"255","5263","85","#OnThisDay in the Men’s ICC Cricket World Cup 2011 semi-final, Sachin Tendulkar’s resilient 85 laid the foundation of a comfortable India win against Pakistan 🙌

Watch the Master Blaster do what he does best 📽️"
"33","725","6","Three European teams will compete in an exciting tri-series in the lead-up to the Men's #T20WorldCup 2024 👊

"
"40","1276","6","Exquisite by Alyssa Healy 🤩

#cricket #cricketreels"
"26","1022","11","129 off 107 with 17 fours and a six 💥

Alyssa Healy’s dominating knock flattened West Indies in the semi-final of the Women’s ICC Cricket World Cup  #OnThisDay in 2022 🔥

Revisit the carnage 📽️"
"402","10470","48","Sri Lanka will be happy with their start after winning the toss.

#WTC25 | #BANvSL 📝: https://bit.ly/3TXlsIa"
"1258","8704","112","Monank Patel will lead USA in the T20I series against Canada as ICC Men's #T20WorldCup 2024 preparations heat up 🔥

➡ https://bit.ly/3THaODU"
"577","22747","24","Final preparations 👊

Bangladesh all set for the second and final #BANvSL Test in Chattogram.

#WTC25"
"1558","38098","152","Shakib Al Hasan's presence will be a major boost for Bangladesh in the second Test against Sri Lanka 👏

More ➡ https://bit.ly/4ahFbrY

#WTC25 | #BANvSL"
"64","1563","5","Selection Chairman George Bailey thinks Australia might have room for a second spinner in the ICC Men's #T20WorldCup 2024 squad 😯

➡ https://bit.ly/3TVRJPI"
"249","4397","11","Last training session in Chattogram ☑️

Can Sri Lanka maintain their unbeaten Test record in Bangladesh? 👀

#BANvSL | #WTC25"
"4605","85291","926","Look who is back 🙌

Bangladesh star all-rounder Shakib Al Hasan gearing up to mark his return to international cricket for the first time since #CWC23 💪

🇧🇩 squad for 2nd #BANvSL Test ➡️ https://bit.ly/3TGqRSq"
"66","1122","5","Ireland and Scotland to tour to Netherlands for a tri-nation T20I series ahead of the ICC Men’s #T20WorldCup 2024.

Details 👇"
"844","13003","40","Shakib Al Hasan is set to play his first Test match in nearly a year against Sri Lanka 👊

#BANvSL | #WTC25"
"194","8548","150","⭐ Three catches followed by a measured 54 ⭐

Sri Lanka captain Kumar Sangakkara led from the front to power his team to the final of the Men’s ICC Cricket World Cup  #OnThisDay in 2011 💪"
"626","23075","666","A left-hander’s cover drives ft. Kumar Sangakkara 🤌

#cricket #cricketreels"
"53","3069","17","England seal the T20I series against New Zealand 4-1 👏"
