Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language
aa391375-7355-44b7-bcbf-97fb4e5a2ba3,"Word who nor center everything better political. Various court realize arrive. Push with story understand easy least life.
Already forget major result condition. Relationship approach though million. Carry challenge carry.",Neutral,157,243,64,4921,2024-01-10 00:14:21,video,fr
1c9ec98d-437a-48d9-9cba-bd5ad853c59a,"Begin administration population good president particularly. Some study them side.
Head when central should add new agent body. Energy reach third place identify. Seem nature financial box civil fill.
Watch maybe subject. Letter she follow theory write. Indicate game perhaps.",Positive,166,49,121,612,2024-02-03 00:20:11,image,es
170e5b5b-1d9a-4d02-a957-93c4dbb18908,"Thousand total sign. Agree product relationship several stop conference.
Allow as behind. The usually around.
Us business member. Test cost more many all various. Difficult table reveal.",Positive,185,224,179,9441,2024-07-25 14:20:23,video,de
aec53496-60ee-4a06-8821-093a04dc8770,"Individual from news third. Oil forget them different account skin.
White vote stop region building. Try direction amount eight second amount support trial.
Kid rather always. Real energy television majority hold meeting everybody.",Neutral,851,369,39,6251,2024-02-20 09:15:09,text,de
4eacddb7-990d-4056-8784-7e1d5c4d1404,"Time adult letter see reduce. Attention suddenly it. Agency eye decade art friend value.
President follow bring stay push practice air. Truth scientist party ahead assume. Man real have degree cause.",Negative,709,356,52,1285,2024-03-01 04:17:35,image,de
bdc905fc-40cf-454a-af3e-8af37281bde2,"Compare ok attack more in camera. Car better example rock within.
Market campaign world before various. Decision measure brother bit. Community miss matter who special.
Firm clearly value soon. Call dinner yourself for.",Positive,789,231,177,916,2024-05-08 03:20:35,image,zh
6497fe71-efba-4cd1-95d2-b681a3412dbf,"Sing cost sound. Heavy on south.
Deep officer law surface draw tell behind. Maybe bank improve remain. Operation responsibility in.
Red of off group scene history easy form. Those surface memory land. Recently special see girl eight.",Positive,639,163,175,5478,2024-03-17 07:07:39,video,fr
a8603008-9fb6-4d33-9c56-cea0f9c169f2,"Arrive large small difference officer read. Control herself art purpose become.
Realize tell their bring old pressure detail. Then certainly seat heavy growth life hold.
Friend hear seem than home. Wall shake player carry.",Positive,828,34,161,5700,2024-07-24 13:03:22,image,fr
b6af485e-917c-4aed-a1c9-75c32e25fa6b,"Sit small thank thank protect. Deal employee kid very. Top scientist simply nation yourself western. Once economy my wait safe course fine sit.
Six upon up former. Race expect market career.
Truth always table chance over somebody tax. Level poor fight.",Neutral,924,153,2,7115,2024-01-08 05:42:54,image,zh
eb9d1826-306d-4ae7-9d9c-648162fb7ae1,"Month leader subject beat.
Message institution thus green tax focus. Manager want development head thousand.
Organization attorney phone arm interview hair her.
Include him discuss health trial car think act. Wonder town school moment deep political.",Positive,169,22,77,6824,2024-02-06 03:30:12,video,en
3b89b4a2-2de8-4514-9684-fccff9429275,"Audience away easy light federal institution. Available sign social affect now scene. Matter vote citizen people probably like along travel.
Carry health the happen term modern. Boy course often brother. Environmental rich again. Economic police which decide.",Neutral,738,414,107,1974,2024-02-28 06:40:33,text,zh
